title,latitude,longitude
State/Park,43.07495391,-89.40056920
University/Park,43.07326893,-89.40059066
University/Frances,43.07317488,-89.39579487
State/Gilman,43.07478149,-89.39349622
State/Carroll,43.07480305,-89.38645005
State/Caroll II,43.07478737,-89.38645005
State/Park II,43.07503424,-89.40057993
