title,latitude,longitude
Lake Mendota/Wisconsin,43.07949332,-89.39037144
Lake Mendota/Butler,43.08061686,-89.38620597
Gorham/Butler,43.07958736,-89.38491985
Gorham/Blount,43.08259646,-89.38063502
Mifflin/Blount,43.08063547,-89.37805206
Mifflin/Wisconsin,43.07549466,-89.38520551
Lake Mendota/Wisconsin II,43.07943063,-89.39042240
