title,latitude,longitude
Dayton/Mills,43.07100785,-89.40407753
Regent/Mills,43.06768858,-89.40406144
Regent/Randall,43.06776696,-89.40899134
Dayton/Randall,43.07107839,-89.40901816
Dayton/Mills II,43.07100785,-89.40407217
