title,latitude,longitude
Regent/Monroe,43.06779831,-89.41276789
Monroe/Edgewood,43.06231153,-89.42109883
Edgewood/Commuter Path,43.06468659,-89.42376494
Regent/Allen,43.06791196,-89.42378774
Regent/Monroe II,43.06781203,-89.41277727
