title,latitude,longitude
Washington/Bedford,43.06883095,-89.39246044
Wilson/Bedford,43.06665789,-89.38964456
Wilson/Hamilton,43.07044355,-89.38426942
Wilson/Hamilton II,43.07048666,-89.38433915
Wilson/Broom,43.06924831,-89.38606650
Washington/Broom,43.07135270,-89.38888013
Washington/Bedford II,43.06883291,-89.39246088
