title,latitude,longitude
Lake Mendota/Wisconsin,43.07950312,-89.39035267
Lake Mendota/Lake,43.07698758,-89.39727813
Langdon/Lake,43.07581009,-89.39732909
Langdon/Curve,43.07576699,-89.39397633
Langdon/Wisconsin,43.07880763,-89.38954800
Lake Mendota/Wisconsin,43.07947961,-89.39037144
