title,latitude,longitude
Regent/Breese,43.06780615,-89.41391587
Regent/Allen,43.06791588,-89.42378104
University/Allen,43.07244602,-89.42374349
University/Prospect,43.07343743,-89.41627085
University/Breese,43.07340608,-89.41391051
Regent/Breese II,43.06780223,-89.41391587
