title,latitude,longitude
Regent/Park,43.06765331,-89.40105736
Drake/Park,43.06206070,-89.40086961
Drake/Randall,43.06203914,-89.40898865
Regent/Randall,43.06776304,-89.40898865
Regent/Park II,43.06765723,-89.40106273
