title,latitude,longitude
Dayton/Park,43.07093340,-89.40083742
Regent/Park,43.06765723,-89.40097153
Regent/Mills,43.06769642,-89.40405607
Dayton/Mills,43.07100785,-89.40408021
Dayton/Park II,43.07095299,-89.40084010
